day,weekday,month,y,is_hoilday,weather,mean_temp,MA3
2020-03-23,1,3,5667,1,阴,20,4296
2020-03-24,2,3,6050,0,阵雨,19,4494.3
2020-03-25,3,3,5375,0,多云,20,5160.7
2020-03-26,4,3,6139,0,小雨,16,5697.3
2020-03-27,5,3,6361,0,小雨,14,5854.7
2020-03-28,6,3,4803,0,阴,10,5958.3
2020-03-29,7,3,4761,1,多云,11,5767.7
2020-03-30,1,3,7057,1,阴,11,5308.3
2020-03-31,2,3,7293,0,多云,16,5540.3
2020-04-01,3,4,7252,0,阴,15,6370.3
2020-04-02,4,4,7382,0,阴,12,7200.7
2020-04-03,5,4,7707,0,小雨,11,7309
2020-04-04,6,4,5253,0,阴,12,7447
2020-04-05,7,4,4750,1,阴,13,6780.7
2020-04-06,1,4,6159,1,阴,13,5903.3
2020-04-07,2,4,8714,1,阴,15,5387.3
2020-04-08,3,4,8531,0,多云,18,6541
2020-04-09,4,4,8676,0,多云,19,7801.3
2020-04-10,5,4,8873,0,阴,18,8640.3
2020-04-11,6,4,7125,1,阴,16,8693.3
2020-04-12,7,4,7359,1,阴,17,8224.7
2020-04-13,1,4,9552,0,小雨,14,7785.7
2020-04-14,2,4,9473,0,多云,16,8012
2020-04-15,3,4,9316,0,多云,19,8794.7
2020-04-16,4,4,9330,0,阴,22,9447
2020-04-17,5,4,9728,0,阴,19,9373
2020-04-18,6,4,7181,1,多云,18,9458
2020-04-19,7,4,7182,1,阴,18,8746.3
2020-04-20,1,4,9682,0,阴,17,8030.3
2020-04-21,2,4,9027,0,阴,13,8015
2020-04-22,3,4,8985,0,阴,12,8630.3
2020-04-23,4,4,9100,0,阴,12,9231.3
2020-04-24,5,4,10372,0,多云,16,9037.3
2020-04-25,6,4,7996,1,多云,17,9485.7
2020-04-26,7,4,9916,1,多云,21,9156
2020-04-27,1,4,10619,0,晴,23,9428
2020-04-28,2,4,10765,0,晴,23,9510.3
2020-04-29,3,4,10499,0,阴,22,10433.3
2020-04-30,4,4,11902,0,多云,24,10627.7
2020-05-01,5,5,9621,1,多云,24,11055.3
2020-05-02,6,5,9827,1,晴,26,10674
2020-05-03,7,5,9616,1,多云,27,10450
2020-05-04,1,5,9042,1,多云,26,9688
2020-05-05,2,5,8937,0,多云,26,9495
2020-05-06,3,5,11237,0,多云,25,9198.3
2020-05-07,4,5,11398,0,中雨,23,9738.7
2020-05-08,5,5,11655,0,阴,21,10524
2020-05-09,6,5,11968,1,多云,19,11430
2020-05-10,7,5,8866,1,多云,22,11673.7
2020-05-11,1,5,11544,0,多云,21,10829.7
2020-05-12,2,5,11889,0,阴,20,10792.7
2020-05-13,3,5,12097,0,多云,20,10766.3
2020-05-14,4,5,11824,0,多云,22,11843.3
2020-05-15,5,5,13284,0,多云,24,11936.7
2020-05-16,6,5,10559,1,多云,25,12401.7
2020-05-17,7,5,9943,1,晴,27,11889
2020-05-18,1,5,12539,0,多云,27,11262
2020-05-19,2,5,12264,0,多云,25,11013.7
2020-05-20,3,5,13149,0,多云,24,11582
2020-05-21,4,5,12292,0,小雨,22,12650.7
2020-05-22,5,5,13240,0,阴,25,12568.3
2020-05-23,6,5,10346,1,多云,25,12893.7
2020-05-24,7,5,9551,1,小雨,18,11959.3
2020-05-25,1,5,12572,0,阴,21,11045.7
2020-05-26,2,5,12783,0,阴,21,10823
2020-05-27,3,5,12851,0,阴,19,11635.3
2020-05-28,4,5,12919,0,多云,20,12735.3
2020-05-29,5,5,14144,0,晴,23,12851
2020-05-30,6,5,11078,1,多云,24,13304.7
2020-05-31,7,5,10077,1,多云,25,12713.7
2020-06-01,1,6,14322,0,阵雨,23,11766.3
2020-06-02,2,6,12077,0,多云,21,11825.7
2020-06-03,3,6,13486,0,多云,23,12158.7
2020-06-04,4,6,13473,0,多云,24,13295
2020-06-05,5,6,13349,0,多云,27,13012
2020-06-06,6,6,12189,1,阴,25,13436
2020-06-07,7,6,9760,1,阵雨,25,13003.7
2020-06-08,1,6,13312,1,阵雨,22,11766
2020-06-09,2,6,13615,1,多云,25,11753.7
2020-06-10,3,6,13232,0,多云,24,12229
2020-06-11,4,6,14224,0,阴,25,13386.3
2020-06-12,5,6,14642,0,阴,27,13690.3
2020-06-13,6,6,11815,1,阵雨,27,14032.7
2020-06-14,7,6,11446,1,多云,27,13560.3
2020-06-15,1,6,14323,0,多云,26,12634.3
2020-06-16,2,6,13387,0,小雨,24,12528
2020-06-17,3,6,13226,0,小雨,24,13052
2020-06-18,4,6,13730,0,多云,26,13645.3
2020-06-19,5,6,14855,0,多云,25,13447.7
2020-06-20,6,6,11552,1,阵雨,24,13937
2020-06-21,7,6,10932,1,阵雨,24,13379
2020-06-22,1,6,13459,0,阵雨,25,12446.3
2020-06-23,2,6,13689,0,阵雨,26,11981
2020-06-24,3,6,16173,0,晴,28,12693.3
2020-06-25,4,6,11517,0,多云,28,14440.3
2020-06-26,5,6,10648,0,阵雨,25,13793
2020-06-27,6,6,10104,1,阵雨,25,12779.3
2020-06-28,7,6,14154,1,阴,27,10756.3
2020-06-29,1,6,14402,0,多云,27,11635.3
2020-06-30,2,6,13713,0,多云,28,12886.7
2020-07-01,3,7,7097,0,暴雨,24,14089.7
2020-07-02,4,7,10867,0,多云,27,11737.3
2020-07-03,5,7,12486,0,多云,27,10559
2020-07-04,6,7,9999,1,阵雨,25,10150
2020-07-05,7,7,9703,1,阴,26,11117.3
2020-07-06,1,7,13289,0,阴,26,10729.3
2020-07-07,2,7,12374,0,多云,28,10997
2020-07-08,3,7,13621,0,阵雨,28,11788.7
2020-07-09,4,7,13218,0,阵雨,27,13094.7
2020-07-10,5,7,14732,0,阵雨,23,13071
2020-07-11,6,7,12060,1,阴,25,13857
2020-07-12,7,7,11945,1,多云,26,13336.7
2020-07-13,1,7,14413,0,阵雨,26,12912.3
2020-07-14,2,7,14652,0,小雨,27,12806
2020-07-15,3,7,14390,0,大雨,25,13670
2020-07-16,4,7,14379,0,阵雨,25,14485
2020-07-17,5,7,0,0,阴,28,0
2020-07-18,6,7,0,1,阵雨,27,0
2020-07-19,7,7,0,1,多云,27,0
2020-07-20,1,7,0,0,阴,24,0
2020-07-21,2,7,0,0,阵雨,22,0
2020-07-22,3,7,0,0,阵雨,25,0
2020-07-23,4,7,0,0,阵雨,26,0
2020-07-24,5,7,0,0,中雨,26,0
2020-07-25,6,7,0,1,中雨,24,0
2020-07-26,7,7,0,1,晴,27,0
2020-07-27,1,7,0,0,晴,28,0
2020-07-28,2,7,0,0,多云,29,0
2020-07-29,3,7,0,0,大雨,24,0
2020-07-30,4,7,0,0,大雨,23,0
2020-07-31,5,7,0,0,阵雨,24,0
2020-08-01,6,8,0,1,阴,26,0
2020-08-02,7,8,0,1,阵雨,26,0
2020-08-03,1,8,0,0,阵雨,27,0
2020-08-04,2,8,0,0,阵雨,27,0
2020-08-05,3,8,0,0,小雨,29,0
2020-08-06,4,8,0,0,阵雨,28,0
2020-08-07,5,8,0,0,大雨,25,0
2020-08-08,6,8,0,1,多云,29,0
2020-08-09,7,8,0,1,多云,30,0
2020-08-10,1,8,0,0,多云,29,0
2020-08-11,2,8,0,0,阵雨,25,0
2020-08-12,3,8,0,0,大雨,24,0
2020-08-13,4,8,0,0,小雨,24,0
2020-08-14,5,8,0,0,小雨,27,0
2020-08-15,6,8,0,1,小雨,24,0
2020-08-16,7,8,0,1,小雨,23,0
2020-08-17,1,8,0,0,大雨,23,0
2020-08-18,2,8,0,0,小雨,21,0
2020-08-19,3,8,0,0,中雨,23,0
2020-08-20,4,8,0,0,阴,23,0
2020-08-21,5,8,0,0,多云,26,0
2020-08-22,6,8,0,1,阵雨,24,0
2020-08-23,7,8,0,1,阵雨,25,0
2020-08-24,1,8,0,0,阵雨,25,0
2020-08-25,2,8,0,0,晴,26,0
2020-08-26,3,8,0,0,晴,26,0
2020-08-27,4,8,0,0,多云,28,0
2020-08-28,5,8,0,0,多云,26,0
2020-08-29,6,8,0,1,阵雨,25,0
2020-08-30,7,8,0,1,大雨,22,0
2020-08-31,1,8,0,0,多云,21,0
2020-09-01,2,9,0,0,阴,24,0
2020-09-02,3,9,0,0,多云,25,0
2020-09-03,4,9,0,0,多云,25,0
2020-09-04,5,9,0,0,多云,25,0
2020-09-05,6,9,0,1,阵雨,22,0
2020-09-06,7,9,0,1,晴,26,0
2020-09-07,1,9,0,0,晴,26,0
2020-09-08,2,9,0,0,多云,25,0
2020-09-09,3,9,0,0,阵雨,23,0
2020-09-10,4,9,0,0,多云,24,0
2020-09-11,5,9,0,0,阴,22,0
2020-09-12,6,9,0,0,阵雨,19,0
2020-09-13,7,9,0,1,阵雨,19,0
2020-09-14,1,9,0,1,阴,20,0
2020-09-15,2,9,0,1,阵雨,20,0
2020-09-16,3,9,0,0,阵雨,19,0
2020-09-17,4,9,0,0,阵雨,19,0
2020-09-18,5,9,0,0,多云,20,0
2020-09-19,6,9,0,0,阴,19,0
2020-09-20,7,9,0,1,阵雨,18,0
2020-09-21,1,9,0,1,阵雨,18,0
2020-09-22,2,9,0,0,阴,20,0
2020-09-23,3,9,0,0,多云,20,0
2020-09-24,4,9,0,0,阵雨,19,0
2020-09-25,5,9,0,0,阵雨,17,0
2020-09-26,6,9,0,0,阴,18,0
2020-09-27,7,9,0,1,阵雨,17,0
2020-09-28,1,9,0,1,阵雨,17,0
2020-09-29,2,9,0,0,多云,20,0
2020-09-30,3,9,0,0,多云,20,0
2020-10-01,4,10,0,1,小雨,19,0
2020-10-02,5,10,0,1,小雨,19,0
2020-10-03,6,10,0,1,阴,18,0
2020-10-04,7,10,0,1,阴,16,0
2020-10-05,1,10,0,1,阴,14,0
2020-10-06,2,10,0,1,小雨,13,0
2020-10-07,3,10,0,1,阴,16,0
2020-10-08,4,10,0,0,小雨,15,0
2020-10-09,5,10,0,0,多云,15,0
2020-10-10,6,10,0,1,多云,16,0
2020-10-11,7,10,0,1,阴,17,0
2020-10-12,1,10,0,0,阴,15,0
2020-10-13,2,10,0,0,小雨,15,0
2020-10-14,3,10,0,0,阴,14,0
2020-10-15,4,10,0,0,多云,14,0
2020-10-16,5,10,0,0,多云,15,0
2020-10-17,6,10,0,1,多云,13,0
2020-10-18,7,10,0,1,小雨,13,0
2020-10-19,1,10,0,0,阴,13,0
2020-10-20,2,10,0,0,小雨,14,0
2020-10-21,3,10,0,0,晴,17,0
2020-10-22,4,10,0,0,晴,17,0
2020-10-23,5,10,0,0,阴,16,0
2020-10-24,6,10,0,1,阴,16,0
2020-10-25,7,10,0,1,多云,17,0
2020-10-26,1,10,0,0,阴,18,0
2020-10-27,2,10,0,0,阴,15,0
2020-10-28,3,10,0,0,多云,15,0
2020-10-29,4,10,0,0,多云,16,0
2020-10-30,5,10,0,0,小雨,15,0
2020-10-31,6,10,0,1,多云,16,0
2020-11-01,7,11,0,1,阴,16,0
2020-11-02,1,11,0,0,多云,15,0
2020-11-03,2,11,0,0,多云,14,0
2020-11-04,3,11,0,0,小雨,12,0
2020-11-05,4,11,0,0,阴,12,0
2020-11-06,5,11,0,0,晴,16,0
2020-11-07,6,11,0,1,晴,18,0
2020-11-08,7,11,0,1,多云,16,0
2020-11-09,1,11,0,0,多云,17,0
2020-11-10,2,11,0,0,多云,18,0
2020-11-11,3,11,0,0,多云,17,0
2020-11-12,4,11,0,0,多云,18,0
2020-11-13,5,11,0,0,阴,17,0
2020-11-14,6,11,0,1,多云,17,0
2020-11-15,7,11,0,1,多云,18,0
2020-11-16,1,11,0,0,多云,17,0
2020-11-17,2,11,0,0,多云,17,0
2020-11-18,3,11,0,0,多云,16,0
2020-11-19,4,11,0,0,晴,15,0
2020-11-20,5,11,0,0,阴,14,0
2020-11-21,6,11,0,1,阴,10,0
2020-11-22,7,11,0,1,阴,6,0
2020-11-23,1,11,0,0,多云,6,0
2020-11-24,2,11,0,0,阴,7,0
2020-11-25,3,11,0,0,多云,8,0
2020-11-26,4,11,0,0,阴,9,0
2020-11-27,5,11,0,0,阴,9,0
2020-11-28,6,11,0,1,小雨,9,0
2020-11-29,7,11,0,1,阴,8,0
2020-11-30,1,11,0,0,小雨,8,0
2020-12-01,2,12,0,0,小雨,7,0
2020-12-02,3,12,0,0,小雨,6,0
2020-12-03,4,12,0,0,小雨,4,0
2020-12-04,5,12,0,0,小雨,4,0
2020-12-05,6,12,0,1,阴,5,0
2020-12-06,7,12,0,1,阴,6,0
2020-12-07,1,12,0,0,阴,7,0
2020-12-08,2,12,0,0,多云,6,0
2020-12-09,3,12,0,0,阴,7,0
2020-12-10,4,12,0,0,多云,8,0
2020-12-11,5,12,0,0,阴,8,0
2020-12-12,6,12,0,1,阴,8,0
2020-12-13,7,12,0,1,小雨,5,0
2020-12-14,1,12,0,0,阴,2,0
2020-12-15,2,12,0,0,小雨,3,0
2020-12-16,3,12,0,0,小雨,3,0
2020-12-17,4,12,0,0,小雨,3,0
2020-12-18,5,12,0,0,多云,5,0
2020-12-19,6,12,0,1,多云,4,0
2020-12-20,7,12,0,1,多云,4,0
2020-12-21,1,12,0,0,多云,5,0
2020-12-22,2,12,0,0,阴,5,0
2020-12-23,3,12,0,0,多云,7,0
2020-12-24,4,12,0,0,多云,8,0
2020-12-25,5,12,0,0,小雨,6,0
2020-12-26,6,12,0,1,多云,7,0
2020-12-27,7,12,0,1,多云,6,0
2020-12-28,1,12,0,0,多云,6,0
2020-12-29,2,12,0,0,多云,4,0
2020-12-30,3,12,0,0,多云,4,0
2020-12-31,4,12,0,0,多云,3,0
